model,epoch,vs_baseline_wins,vs_baseline_total,vs_baseline_winrate,vs_random_wins,vs_random_total,vs_random_winrate,vs_prev_wins,vs_prev_total,vs_prev_winrate,elo_rating,elo_smooth,baseline_smooth,random_smooth,prev_smooth
20251006_2254-EXP_id03_epoch_0111,111,0,50,0.0,650,50,1300.0,625,50,1250.0,399.55104534777274,394.01569092874155,0.0,1416.6666666666667,1250.0
20251005_2136-EXP_id03_epoch_0113,113,0,50,0.0,675,50,1350.0,1250,50,2500.0,399.75178765072815,394.2173506052846,0.0,1300.0,1250.0
20250930_0938-EXP_id03_epoch_0115,115,0,50,0.0,675,50,1350.0,0,50,0.0,383.9509787333539,394.41793724395166,0.0,1333.3333333333333,1250.0
20251006_2257-EXP_id03_epoch_0116,116,625,50,1250.0,575,50,1150.0,625,50,1250.0,415.6678944752927,399.79022028645824,416.6666666666667,1283.3333333333333,1250.0
20251005_2138-EXP_id03_epoch_0118,118,625,50,1250.0,575,50,1150.0,0,50,0.0,399.51824529957963,399.7123728360754,833.3333333333334,1216.6666666666667,416.6666666666667
20250930_0939-EXP_id03_epoch_0120,120,0,50,0.0,750,50,1500.0,1250,50,2500.0,399.8519026232277,405.0126807993667,833.3333333333334,1266.6666666666667,1250.0
20251006_2259-EXP_id03_epoch_0121,121,0,50,0.0,550,50,1100.0,1250,50,2500.0,400.0503135443313,399.8068204890462,416.6666666666667,1250.0,1666.6666666666667
20251005_2139-EXP_id03_epoch_0123,123,1250,50,2500.0,625,50,1250.0,625,50,1250.0,415.76909939468277,405.22377185408055,833.3333333333334,1283.3333333333333,2083.3333333333335
20250930_0940-EXP_id03_epoch_0125,125,0,50,0.0,600,50,1200.0,625,50,1250.0,400.09269709665244,405.3040366785555,833.3333333333334,1183.3333333333333,1666.6666666666667
20251006_2302-EXP_id03_epoch_0126,126,625,50,1250.0,775,50,1550.0,625,50,1250.0,415.81238314355426,410.5580598782965,1250.0,1333.3333333333333,1250.0
20251005_2140-EXP_id03_epoch_0128,128,625,50,1250.0,750,50,1500.0,625,50,1250.0,415.6576656402939,410.5209152935002,833.3333333333334,1416.6666666666667,1250.0
20250930_0941-EXP_id03_epoch_0130,130,625,50,1250.0,800,50,1600.0,1250,50,2500.0,415.50727790114007,415.65910889499605,1250.0,1550.0,1666.6666666666667
20251006_2304-EXP_id03_epoch_0131,131,625,50,1250.0,825,50,1650.0,1250,50,2500.0,415.3611494968905,415.50869767944147,1250.0,1583.3333333333333,2083.3333333333335
20251005_2141-EXP_id03_epoch_0133,133,625,50,1250.0,675,50,1350.0,625,50,1250.0,415.21920121996436,415.362542872665,1250.0,1533.3333333333333,2083.3333333333335
